V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
GCA_002960395.1_ASM296039v1.fna,ssuis,-,aroA(214),cpn60(300),dpr(131),gki(235),mutS(380),recA(~323),thrA(232),"","",""
GCA_002960555.1_ASM296055v1.fna,ssuis,-,aroA(162),cpn60(110),dpr(74),gki(129),mutS(133),recA(34),thrA(81),"","",""
GCA_002960695.1_ASM296069v1.fna,ssuis,-,aroA(25),cpn60(~116),dpr(30),gki(4),mutS(9),recA(13),thrA(12),"","",""
GCA_002960745.1_ASM296074v1.fna,ssuis,-,aroA(312),cpn60(266?),dpr(181),gki(7),mutS(11),recA(156),thrA(138),"","",""
GCA_002960825.1_ASM296082v1.fna,ssuis,188,aroA(63),cpn60(55),dpr(53),gki(86),mutS(43),recA(68),thrA(12),"","",""
GCA_002960885.1_ASM296088v1.fna,ssuis,188,aroA(63),cpn60(55),dpr(53),gki(86),mutS(43),recA(68),thrA(12),"","",""
GCA_002960925.1_ASM296092v1.fna,ssuis,188,aroA(63),cpn60(55),dpr(53),gki(86),mutS(43),recA(68),thrA(12),"","",""
GCA_002961075.1_ASM296107v1.fna,ssuis,7,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(3),"","",""
GCA_002961505.1_ASM296150v1.fna,ssuis,930,aroA(248),cpn60(330),dpr(216),gki(282),mutS(294),recA(77),thrA(138),"","",""
GCA_002961565.1_ASM296156v1.fna,ssuis,930,aroA(248),cpn60(330),dpr(216),gki(282),mutS(294),recA(77),thrA(138),"","",""
GCA_002961795.1_ASM296179v1.fna,ssuis,188,aroA(63),cpn60(55),dpr(53),gki(86),mutS(43),recA(68),thrA(12),"","",""
GCA_002961825.1_ASM296182v1.fna,ssuis,-,aroA(13),cpn60(110),dpr(74),gki(138),mutS(133),recA(34),thrA(103),"","",""
GCA_002961845.1_ASM296184v1.fna,ssuis,-,aroA(13),cpn60(110),dpr(74),gki(138),mutS(133),recA(34),thrA(149),"","",""
GCA_002961885.1_ASM296188v1.fna,ssuis,188,aroA(63),cpn60(55),dpr(53),gki(86),mutS(43),recA(68),thrA(12),"","",""
GCA_002961905.1_ASM296190v1.fna,ssuis,-,aroA(13),cpn60(110),dpr(74),gki(138),mutS(133),recA(34),thrA(103),"","",""
GCA_002962025.1_ASM296202v1.fna,ssuis,-,aroA(88),cpn60(142),dpr(49),gki(199),mutS(221),recA(64),thrA(38),"","",""
GCA_002962045.1_ASM296204v1.fna,ssuis,-,aroA(88),cpn60(142),dpr(49),gki(199),mutS(221),recA(64),thrA(38),"","",""
GCA_002962225.1_ASM296222v1.fna,ssuis,-,aroA(13),cpn60(110),dpr(74),gki(138),mutS(133),recA(34),thrA(103),"","",""
GCA_002962345.1_ASM296234v1.fna,ssuis,-,aroA(154),cpn60(77),dpr(74),gki(129),mutS(108),recA(34),thrA(81),"","",""
GCA_002962465.1_ASM296246v1.fna,ssuis,-,aroA(13),cpn60(110),dpr(123),gki(164),mutS(133),recA(34),thrA(16),"","",""
GCA_002962505.1_ASM296250v1.fna,ssuis,919,aroA(25),cpn60(33),dpr(30),gki(4),mutS(9),recA(13),thrA(12),"","",""
GCA_002962545.1_ASM296254v1.fna,ssuis,919,aroA(25),cpn60(33),dpr(30),gki(4),mutS(9),recA(13),thrA(12),"","",""
GCA_002962615.1_ASM296261v1.fna,ssuis,188,aroA(63),cpn60(55),dpr(53),gki(86),mutS(43),recA(68),thrA(12),"","",""
GCA_002962975.1_ASM296297v1.fna,ssuis,930,aroA(248),cpn60(330),dpr(216),gki(282),mutS(294),recA(77),thrA(138),"","",""
GCA_002963005.1_ASM296300v1.fna,ssuis,930,aroA(248),cpn60(330),dpr(216),gki(282),mutS(294),recA(77),thrA(138),"","",""
GCA_002963065.1_ASM296306v1.fna,ssuis,188,aroA(63),cpn60(55),dpr(53),gki(86),mutS(43),recA(68),thrA(12),"","",""
GCA_002963085.1_ASM296308v1.fna,ssuis,188,aroA(63),cpn60(55),dpr(53),gki(86),mutS(43),recA(68),thrA(12),"","",""
GCA_002963145.1_ASM296314v1.fna,ssuis,188,aroA(63),cpn60(55),dpr(53),gki(86),mutS(43),recA(68),thrA(12),"","",""
GCA_002963205.1_ASM296320v1.fna,ssuis,-,aroA(16),cpn60(110),dpr(74),gki(138),mutS(65),recA(34),thrA(179),"","",""
GCA_002963385.1_ASM296338v1.fna,ssuis,-,aroA(16),cpn60(77),dpr(74),gki(129),mutS(108),recA(34),thrA(~111),"","",""
GCA_002963405.1_ASM296340v1.fna,ssuis,-,aroA(16),cpn60(77),dpr(74),gki(129),mutS(108),recA(34),thrA(~111),"","",""
GCA_003046665.1_ASM304666v1.fna,bsubtilis,-,glpF(3),ilvD(48),pta(55),purH(71),pycA(34),rpoD(1),tpiA(1),"","",""
GCA_003096215.1_ASM309621v1.fna,-,-,"","","","","","","","","",""
GCA_003149795.1_ASM314979v1.fna,bsubtilis,42,glpF(29),ilvD(26),pta(28),purH(33),pycA(29),rpoD(2),tpiA(29),"","",""
GCA_003182675.2_ASM318267v2.fna,-,-,"","","","","","","","","",""
GCA_003391095.1_ASM339109v1.fna,-,-,"","","","","","","","","",""
GCA_003434095.1_ASM343409v1.fna,sbsec,-,ddl(7),gki(6),glnA(6),mutS(7),mutS2(8),pheS(7),proS(40),pyrE(12),thrS(~53),tpi(6)
GCA_003436075.1_ASM343607v1.fna,-,-,"","","","","","","","","",""
GCA_003438595.1_ASM343859v1.fna,lsalivarius,-,pstB(~2),rpsB(4),nrdB(7?),rpoA(7),parB(9?),"","","","",""
GCA_003467665.1_ASM346766v1.fna,-,-,"","","","","","","","","",""
GCA_003472365.1_ASM347236v1.fna,-,-,"","","","","","","","","",""
GCA_003479865.1_ASM347986v1.fna,-,-,"","","","","","","","","",""
GCA_003515825.1_ASM351582v1.fna,-,-,"","","","","","","","","",""
GCA_003594665.1_ASM359466v1.fna,-,-,"","","","","","","","","",""
GCA_003667885.1_ASM366788v1.fna,bsubtilis,-,glpF(21),ilvD(8),pta(7),purH(~27),pycA(~22),rpoD(~8),tpiA(~24),"","",""
GCA_003694695.1_ASM369469v1.fna,bsubtilis,102,glpF(59),ilvD(64),pta(66),purH(71),pycA(34),rpoD(1),tpiA(1),"","",""
GCA_003833015.1_ASM383301v1.fna,-,-,"","","","","","","","","",""
GCA_003833295.1_ASM383329v1.fna,bsubtilis,-,glpF(~3),ilvD(~89),pta(2),purH(24),pycA(20),rpoD(1),tpiA(~3),"","",""
GCA_003839715.1_ASM383971v1.fna,-,-,"","","","","","","","","",""
GCA_003841285.1_ASM384128v1.fna,-,-,"","","","","","","","","",""
GCA_003841315.1_ASM384131v1.fna,-,-,"","","","","","","","","",""
GCA_003931545.1_ASM393154v1.fna,bsubtilis,-,glpF(3),ilvD(64),pta(2),purH(66),pycA(2),rpoD(41),tpiA(3),"","",""
GCA_003990435.1_ASM399043v1.fna,bsubtilis,-,glpF(~3),ilvD(~89),pta(2),purH(24),pycA(20),rpoD(1),tpiA(~3),"","",""
GCA_004022375.1_ASM402237v1.fna,-,-,"","","","","","","","","",""
GCA_004116955.1_ASM411695v1.fna,bsubtilis,21,glpF(8),ilvD(8),pta(7),purH(11),pycA(9),rpoD(8),tpiA(6),"","",""
GCA_004361695.1_ASM436169v1.fna,-,-,"","","","","","","","","",""
GCA_004366695.1_ASM436669v1.fna,bsubtilis,-,glpF(98),ilvD(108),pta(~112),purH(128),pycA(~101),rpoD(40),tpiA(~64),"","",""
GCA_004795205.1_ASM479520v1.fna,-,-,"","","","","","","","","",""
GCA_004922855.1_ASM492285v1.fna,ssuis,1091,aroA(118),cpn60(259),dpr(239),gki(138),mutS(354),recA(170),thrA(60),"","",""
GCA_005160065.1_ASM516006v1.fna,-,-,"","","","","","","","","",""
GCA_006094475.1_ASM609447v1.fna,bsubtilis,7,glpF(9),ilvD(4),pta(6),purH(7),pycA(5),rpoD(4),tpiA(5),"","",""
GCA_006146065.1_ASM614606v1.fna,-,-,"","","","","","","","","",""
GCA_006538925.1_ASM653892v1.fna,-,-,"","","","","","","","","",""
GCA_006568965.1_ASM656896v1.fna,ssuis,988,aroA(38),cpn60(259),dpr(245),gki(15),mutS(323),recA(26),thrA(149),"","",""
GCA_006569035.1_ASM656903v1.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_006715455.1_ASM671545v1.fna,bsubtilis,-,glpF(~3),ilvD(64),pta(~2),purH(135),pycA(2),rpoD(84),tpiA(64),"","",""
GCA_007829735.1_ASM782973v1.fna,bsubtilis,-,glpF(~61),ilvD(47),pta(51),purH(82),pycA(4),rpoD(1),tpiA(1),"","",""
GCA_007859215.1_ASM785921v1.fna,-,-,"","","","","","","","","",""
GCA_007989785.1_ASM798978v1.fna,bsubtilis,8,glpF(5),ilvD(5),pta(8),purH(8),pycA(6),rpoD(5),tpiA(7),"","",""
GCA_008131765.1_ASM813176v1.fna,bsubtilis,145,glpF(59),ilvD(48),pta(55),purH(56),pycA(34),rpoD(1),tpiA(1),"","",""
GCA_008633305.1_ASM863330v1.fna,-,-,"","","","","","","","","",""
GCA_008633485.1_ASM863348v1.fna,-,-,"","","","","","","","","",""
GCA_008709965.1_ASM870996v1.fna,sagalactiae,2,adhP(1),pheS(1),atr(3),glnA(1),sdhA(1),glcK(2),tkt(2),"","",""
GCA_008710645.1_ASM871064v1.fna,sagalactiae,861,adhP(1),pheS(1),atr(89),glnA(2),sdhA(2),glcK(2),tkt(2),"","",""
GCA_009017455.1_ASM901745v1.fna,bsubtilis,227,glpF(98),ilvD(65),pta(111),purH(128),pycA(34),rpoD(82),tpiA(1),"","",""
GCA_009663495.1_ASM966349v1.fna,-,-,"","","","","","","","","",""
GCA_009676665.1_ASM967666v1.fna,bsubtilis,227,glpF(98),ilvD(65),pta(111),purH(128),pycA(34),rpoD(82),tpiA(1),"","",""
GCA_009696045.1_ASM969604v1.fna,-,-,"","","","","","","","","",""
GCA_009731175.1_ASM973117v1.fna,-,-,"","","","","","","","","",""
GCA_009771385.1_ASM977138v1.fna,sagalactiae,19,adhP(1),pheS(1),atr(3),glnA(2),sdhA(2),glcK(2),tkt(2),"","",""
GCA_009771785.1_ASM977178v1.fna,sagalactiae,1,adhP(1),pheS(1),atr(2),glnA(1),sdhA(1),glcK(2),tkt(2),"","",""
GCA_009862505.1_ASM986250v1.fna,streptomyces,-,16S(68),atpD(85),gyrB(84),recA(126),rpoB(121),trpB(138),"","","",""
GCA_009863365.1_ASM986336v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009863375.1_ASM986337v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009863405.1_ASM986340v1.fna,lsalivarius,-,pstB(~2),rpsB(~7),nrdB(5?),rpoA(6),parB(9?),"","","","",""
GCA_009863415.1_ASM986341v1.fna,lsalivarius,-,pstB(~2),rpsB(~7),nrdB(5?),rpoA(6),parB(9?),"","","","",""
GCA_009863465.1_ASM986346v1.fna,lsalivarius,-,pstB(~2),rpsB(~7),nrdB(5?),rpoA(6),parB(9?),"","","","",""
GCA_009863485.1_ASM986348v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009863535.1_ASM986353v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009863555.1_ASM986355v1.fna,lsalivarius,-,pstB(~3),rpsB(~2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009863595.1_ASM986359v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009863605.1_ASM986360v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009863625.1_ASM986362v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009863685.1_ASM986368v1.fna,lsalivarius,-,pstB(~2),rpsB(~7),nrdB(5?),rpoA(6),parB(9?),"","","","",""
GCA_009863695.1_ASM986369v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009863705.1_ASM986370v1.fna,lsalivarius,-,pstB(3),rpsB(~2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009863785.1_ASM986378v1.fna,lsalivarius,-,pstB(~2),rpsB(~7),nrdB(5?),rpoA(6),parB(~14),"","","","",""
GCA_009863815.1_ASM986381v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009863825.1_ASM986382v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(~7),"","","","",""
GCA_009863835.1_ASM986383v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009863915.1_ASM986391v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(~7),"","","","",""
GCA_009863925.1_ASM986392v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009865705.1_ASM986570v1.fna,lsalivarius,-,pstB(~2),rpsB(2),nrdB(5?),rpoA(6),parB(9?),"","","","",""
GCA_009865785.1_ASM986578v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009865795.1_ASM986579v1.fna,lsalivarius,-,pstB(~2),rpsB(~7),nrdB(5?),rpoA(6),parB(9?),"","","","",""
GCA_009865805.1_ASM986580v1.fna,lsalivarius,-,pstB(~2),rpsB(~7),nrdB(5?),rpoA(6),parB(9?),"","","","",""
GCA_009865885.1_ASM986588v1.fna,lsalivarius,-,pstB(3),"rpsB(2,2)",nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009865925.1_ASM986592v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009865965.1_ASM986596v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009865985.1_ASM986598v1.fna,lsalivarius,-,pstB(~2),rpsB(2),nrdB(5?),rpoA(6),parB(9?),"","","","",""
GCA_009866085.1_ASM986608v1.fna,lsalivarius,-,pstB(16?),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009866105.1_ASM986610v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(~7),"","","","",""
GCA_009866125.1_ASM986612v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009866135.1_ASM986613v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009866185.1_ASM986618v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009866205.1_ASM986620v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009866215.1_ASM986621v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009866235.1_ASM986623v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009866265.1_ASM986626v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009869985.1_ASM986998v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009870015.1_ASM987001v1.fna,ssuis,7,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(3),"","",""
GCA_009870045.1_ASM987004v1.fna,ssuis,7,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(3),"","",""
GCA_009870175.1_ASM987017v1.fna,lsalivarius,-,pstB(~2),rpsB(2),nrdB(5?),rpoA(6),parB(9?),"","","","",""
GCA_009870225.1_ASM987022v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(~5),parB(7),"","","","",""
GCA_009870255.1_ASM987025v1.fna,lsalivarius,-,pstB(~8),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009870355.1_ASM987035v1.fna,lsalivarius,-,pstB(~3),rpsB(~2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_009885055.1_ASM988505v1.fna,-,-,"","","","","","","","","",""
GCA_009906915.1_ASM990691v1.fna,bsubtilis,-,glpF(34),ilvD(33),pta(98),purH(39),pycA(60),rpoD(31),tpiA(32),"","",""
GCA_009913535.1_ASM991353v1.fna,bsubtilis,3,glpF(3),ilvD(3),pta(2),purH(3),pycA(2),rpoD(1),tpiA(1),"","",""
GCA_009913595.1_ASM991359v1.fna,bsubtilis,252,glpF(3),ilvD(114),pta(36),purH(135),pycA(2),rpoD(60),tpiA(91),"","",""
GCA_009934215.1_ASM993421v1.fna,sagalactiae,19,adhP(1),pheS(1),atr(3),glnA(2),sdhA(2),glcK(2),tkt(2),"","",""
GCA_009934385.1_ASM993438v1.fna,sagalactiae,19,adhP(1),pheS(1),atr(3),glnA(2),sdhA(2),glcK(2),tkt(2),"","",""
GCA_009934395.1_ASM993439v1.fna,sagalactiae,27,adhP(1),pheS(1),atr(3),glnA(4),sdhA(2),glcK(2),tkt(2),"","",""
GCA_009934595.1_ASM993459v1.fna,sagalactiae,27,adhP(1),pheS(1),atr(3),glnA(4),sdhA(2),glcK(2),tkt(2),"","",""
GCA_009934715.1_ASM993471v1.fna,sagalactiae,19,adhP(1),pheS(1),atr(3),glnA(2),sdhA(2),glcK(2),tkt(2),"","",""
GCA_009934935.1_ASM993493v1.fna,sagalactiae,19,adhP(1),pheS(1),atr(3),glnA(2),sdhA(2),glcK(2),tkt(2),"","",""
GCA_009934955.1_ASM993495v1.fna,sagalactiae,929,adhP(13),pheS(1),atr(4),glnA(4),sdhA(1),glcK(3),tkt(1),"","",""
GCA_009996845.1_ASM999684v1.fna,-,-,"","","","","","","","","",""
GCA_010578165.1_ASM1057816v1.fna,bsubtilis,-,glpF(~3),ilvD(64),pta(2),purH(66),pycA(34),rpoD(1),tpiA(1),"","",""
GCA_011075175.1_ASM1107517v1.fna,bsubtilis,42,glpF(29),ilvD(26),pta(28),purH(33),pycA(29),rpoD(2),tpiA(29),"","",""
GCA_011379285.1_ASM1137928v1.fna,sagalactiae,19,adhP(1),pheS(1),atr(3),glnA(2),sdhA(2),glcK(2),tkt(2),"","",""
GCA_011379305.1_ASM1137930v1.fna,sagalactiae,27,adhP(1),pheS(1),atr(3),glnA(4),sdhA(2),glcK(2),tkt(2),"","",""
GCA_011682135.1_ASM1168213v1.fna,sagalactiae,19,adhP(1),pheS(1),atr(3),glnA(2),sdhA(2),glcK(2),tkt(2),"","",""
GCA_011800165.1_ASM1180016v1.fna,-,-,"","","","","","","","","",""
GCA_011800235.1_ASM1180023v1.fna,-,-,"","","","","","","","","",""
GCA_011800275.1_ASM1180027v1.fna,-,-,"","","","","","","","","",""
GCA_011800435.1_ASM1180043v1.fna,-,-,"","","","","","","","","",""
GCA_011800445.1_ASM1180044v1.fna,-,-,"","","","","","","","","",""
GCA_011800585.1_ASM1180058v1.fna,-,-,"","","","","","","","","",""
GCA_011800605.1_ASM1180060v1.fna,-,-,"","","","","","","","","",""
GCA_012028945.1_ASM1202894v1.fna,bsubtilis,-,glpF(~102),ilvD(64),pta(~2),purH(66),pycA(2),rpoD(41),tpiA(1),"","",""
GCA_012029855.1_ASM1202985v1.fna,bsubtilis,227,glpF(98),ilvD(65),pta(111),purH(128),pycA(34),rpoD(82),tpiA(1),"","",""
GCA_012648005.1_ASM1264800v1.fna,bsubtilis,-,glpF(~23),ilvD(23),pta(11),purH(~29),pycA(~24),rpoD(9),tpiA(10),"","",""
GCA_013093435.1_B2.fna,-,-,"","","","","","","","","",""
GCA_013112015.1_ASM1311201v1.fna,-,-,"","","","","","","","","",""
GCA_013184885.1_ASM1318488v1.fna,ssuis,-,aroA(223),cpn60(283),dpr(34),gki(248),mutS(21),recA(142),thrA(8),"","",""
GCA_013184895.1_ASM1318489v1.fna,ssuis,353,aroA(1),cpn60(1),dpr(1),gki(147),mutS(1),recA(1),thrA(3),"","",""
GCA_013184945.1_ASM1318494v1.fna,ssuis,353,aroA(1),cpn60(1),dpr(1),gki(147),mutS(1),recA(1),thrA(3),"","",""
GCA_013184965.1_ASM1318496v1.fna,ssuis,353,aroA(1),cpn60(1),dpr(1),gki(147),mutS(1),recA(1),thrA(3),"","",""
GCA_013267035.1_ASM1326703v1.fna,bsubtilis,145,glpF(59),ilvD(48),pta(55),purH(56),pycA(34),rpoD(1),tpiA(1),"","",""
GCA_013299825.1_ASM1329982v1.fna,-,-,"","","","","","","","","",""
GCA_013423685.1_ASM1342368v1.fna,-,-,"","","","","","","","","",""
GCA_013488185.1_ASM1348818v1.fna,ssuis,787,aroA(2),cpn60(30),dpr(5),gki(34),mutS(270),recA(3),thrA(25),"","",""
GCA_014041875.1_ASM1404187v1.fna,sbsec,-,ddl(16),gki(~25),glnA(10),mutS(~53),mutS2(~61),pheS(43),proS(~17),pyrE(67),thrS(40),tpi(9)
GCA_014287815.1_ASM1428781v1.fna,-,-,"","","","","","","","","",""
GCA_014287855.1_ASM1428785v1.fna,-,-,"","","","","","","","","",""
GCA_014324155.1_ASM1432415v1.fna,-,-,"","","","","","","","","",""
GCA_014645615.1_ASM1464561v1.fna,-,-,"","","","","","","","","",""
GCA_014650495.1_ASM1465049v1.fna,streptomyces,-,16S(71),atpD(125),gyrB(122),recA(129?),rpoB(124),trpB(140),"","","",""
GCA_014679145.1_ASM1467914v1.fna,-,-,"","","","","","","","","",""
GCA_014830215.1_Llact.fna,-,-,"","","","","","","","","",""
GCA_014843075.1_ASM1484307v1.fna,ssuis,29,aroA(8),cpn60(30),dpr(5),gki(34),mutS(30),recA(3),thrA(25),"","",""
GCA_014856535.1_ASM1485653v1.fna,bsubtilis,7,glpF(9),ilvD(4),pta(6),purH(7),pycA(5),rpoD(4),tpiA(5),"","",""
GCA_014858585.1_ASM1485858v1.fna,-,-,"","","","","","","","","",""
GCA_014875015.1_ASM1487501v1.fna,sagalactiae,110,adhP(1),pheS(1),atr(3),glnA(2),sdhA(2),glcK(2),tkt(9),"","",""
GCA_014884605.1_ASM1488460v1.fna,-,-,"","","","","","","","","",""
GCA_015102215.1_ASM1510221v1.fna,-,-,"","","","","","","","","",""
GCA_015552895.1_ASM1555289v1.fna,-,-,"","","","","","","","","",""
GCA_015555015.1_ASM1555501v1.fna,-,-,"","","","","","","","","",""
GCA_015557145.1_ASM1555714v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_015670885.1_ASM1567088v1.fna,sbsec,-,ddl(36),gki(9),glnA(26),mutS(10),mutS2(8),pheS(7),proS(6),pyrE(12),thrS(13),tpi(6)
GCA_015700305.1_ASM1570030v1.fna,spneumoniae,-,aroE(427),gdh(~40),gki(345),recP(135?),spi(441),xpt(677),ddl(656),"","",""
GCA_015711475.1_ASM1571147v2.fna,-,-,"","","","","","","","","",""
GCA_015845775.1_ASM1584577v1.fna,bsubtilis,21,glpF(8),ilvD(8),pta(7),purH(11),pycA(9),rpoD(8),tpiA(6),"","",""
GCA_016127135.1_ASM1612713v1.fna,-,-,"","","","","","","","","",""
GCA_016406265.1_ASM1640626v1.fna,-,-,"","","","","","","","","",""
GCA_016585065.1_ASM1658506v1.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_016585105.1_ASM1658510v1.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_016585285.1_ASM1658528v1.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_016585545.1_ASM1658554v1.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_016585645.1_ASM1658564v1.fna,ssuis,28,aroA(2),cpn60(30),dpr(5),gki(34),mutS(31),recA(3),thrA(25),"","",""
GCA_016585845.1_ASM1658584v1.fna,ssuis,28,aroA(2),cpn60(30),dpr(5),gki(34),mutS(31),recA(3),thrA(25),"","",""
GCA_016585885.1_ASM1658588v1.fna,ssuis,28,aroA(2),cpn60(30),dpr(5),gki(34),mutS(31),recA(3),thrA(25),"","",""
GCA_016586085.1_ASM1658608v1.fna,ssuis,28,aroA(2),cpn60(30),dpr(5),gki(34),mutS(31),recA(3),thrA(25),"","",""
GCA_016696745.1_ASM1669674v1.fna,-,-,"","","","","","","","","",""
GCA_016837445.1_ASM1683744v1.fna,suberis,-,arcC(21),ddl(1),gki(3),recP(4),tdk(2),tpi(3),yqiL(14),"","",""
GCA_016905205.1_ASM1690520v1.fna,ssuis,-,aroA(~256),cpn60(513),dpr(28),gki(66),mutS(~128),recA(52),thrA(64),"","",""
GCA_016905215.1_ASM1690521v1.fna,ssuis,-,aroA(52),cpn60(424),dpr(28),gki(79),mutS(218),recA(18?),thrA(28),"","",""
GCA_016905375.1_ASM1690537v1.fna,ssuis,1075,aroA(291),cpn60(259),dpr(30),gki(330),mutS(163),recA(18),thrA(166),"","",""
GCA_016908785.1_ASM1690878v1.fna,-,-,"","","","","","","","","",""
GCA_017357865.1_ASM1735786v1.fna,-,-,"","","","","","","","","",""
GCA_017601115.1_ASM1760111v1.fna,bsubtilis,-,glpF(61),ilvD(47),pta(35),purH(~83),pycA(34),rpoD(1),tpiA(64),"","",""
GCA_017869415.1_ASM1786941v1.fna,-,-,"","","","","","","","","",""
GCA_018015195.1_ASM1801519v1.fna,-,-,"","","","","","","","","",""
GCA_018140675.1_ASM1814067v1.fna,-,-,"","","","","","","","","",""
GCA_018195735.1_ASM1819573v1.fna,-,-,"","","","","","","","","",""
GCA_018195775.1_ASM1819577v1.fna,-,-,"","","","","","","","","",""
GCA_018195805.1_ASM1819580v1.fna,-,-,"","","","","","","","","",""
GCA_018224865.2_ASM1822486v2.fna,bsubtilis,-,glpF(59),ilvD(~56),pta(43?),purH(62),pycA(101),rpoD(1),tpiA(3),"","",""
GCA_018252735.1_ASM1825273v1.fna,ssuis,7,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(3),"","",""
GCA_018252905.1_ASM1825290v1.fna,ssuis,7,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(3),"","",""
GCA_018252945.1_ASM1825294v1.fna,ssuis,7,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(3),"","",""
GCA_018252995.1_ASM1825299v1.fna,ssuis,7,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(3),"","",""
GCA_018253015.1_ASM1825301v1.fna,ssuis,7,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(3),"","",""
GCA_018253165.1_ASM1825316v1.fna,ssuis,7,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(3),"","",""
GCA_018253415.1_ASM1825341v1.fna,ssuis,7,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(3),"","",""
